id,__str__,link_detail_backend,metadata,numero,ano,numero_protocolo,data_apresentacao,tipo_apresentacao,data_publicacao,numero_origem_externa,ano_origem_externa,data_origem_externa,apelido,dias_prazo,data_fim_prazo,em_tramitacao,polemica,objeto,complementar,ementa,indexacao,observacao,resultado,texto_original,data_ultima_atualizacao,ip,ultima_edicao,tipo,regime_tramitacao,tipo_origem_externa,local_origem_externa,user,anexadas,autores
2353,Requerimento nº 4 de 2026,/materia/2353,{},4,2026,,2026-01-01,E,,,,,,,,False,False,,False,"Requer a implantação da camada asfáltica da Rua Beira Rio no Iguape, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2353/req_004-2026.pdf,2026-02-23T13:48:17.755061-03:00,168.196.107.176,2026-02-19T15:52:18.588626-03:00,7,1,,,2,[],[15]
2354,Requerimento nº 5 de 2026,/materia/2354,{},5,2026,,2026-01-01,E,,,,,,,,False,False,,False,"Requer a implantação da camada asfáltica das Lagoas I, II, III, IV e V no distrito de Iguape, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2354/req_005-2026.pdf,2026-02-23T13:48:17.911226-03:00,168.196.107.176,2026-02-19T15:52:40.226595-03:00,7,1,,,2,[],[15]
2355,Requerimento nº 6 de 2026,/materia/2355,{},6,2026,,2026-01-01,E,,,,,,,,False,False,,False,Requer a implantação da camada asfáltica da Travessa Iguape Rua do Ciro BD.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2355/req_006-2026.pdf,2026-02-23T13:48:18.049313-03:00,168.196.107.176,2026-02-19T15:52:54.811032-03:00,7,1,,,2,[],[15]
2308,Requerimento nº 7 de 2026,/materia/2308,{},7,2026,,2026-01-01,E,,,,,,,,False,False,,False,"Requer a implantação de calçamento em pedra tosca das Ruas dos Barões II, conhecidas como Rua do Nélio, no bairro Preto.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2308/req_007-2026.pdf,2026-02-23T13:48:18.214265-03:00,168.196.107.176,2026-02-19T15:53:05.816922-03:00,7,1,,,2,[],[15]
2309,Requerimento nº 8 de 2026,/materia/2309,{},8,2026,,2026-01-01,E,,,,,,,,False,False,,False,Requer a construção de uma mine parada de transporte alternativo na entrada do Novo Iguape neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2309/req_008-2026.pdf,2026-02-23T13:48:18.365343-03:00,168.196.107.176,2026-02-19T15:53:13.254647-03:00,7,1,,,2,[],[15]
2310,Requerimento nº 9 de 2026,/materia/2310,{},9,2026,,2026-01-01,E,,,,,,,,False,False,,False,Requer a implantação da camada asfáltica da Rua Paulino de Oliveira no distrito de Barro Preto neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2310/req_009-2026.pdf,2026-02-23T13:48:18.502973-03:00,168.196.107.176,2026-02-19T15:53:21.253686-03:00,7,1,,,2,[],[15]
2311,Requerimento nº 10 de 2026,/materia/2311,{},10,2026,,2026-01-01,E,,,,,,,,False,False,,False,Requer a implantação da camada asfáltica da Rua Assembléia de Deus no distrito de Barro Preto neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2311/req_0010-2026.pdf,2026-02-23T13:48:18.691925-03:00,168.196.107.176,2026-02-19T15:53:28.883768-03:00,7,1,,,2,[],[15]
2312,Requerimento nº 11 de 2026,/materia/2312,{},11,2026,,2026-01-01,E,,,,,,,,False,False,,False,Requer a implantação da camada asfáltica da Rua Paulino Elias no distrito de Jacaúna neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2312/req_011-2026.pdf,2026-02-23T13:48:18.823301-03:00,168.196.107.176,2026-02-19T15:55:19.987785-03:00,7,1,,,2,[],[15]
2313,Requerimento nº 12 de 2026,/materia/2313,{},12,2026,,2026-01-01,E,,,,,,,,False,False,,False,Requer a perfuração de um poço profundo no Cemitério Público do Iguape neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2313/req_012-2026.pdf,2026-02-23T13:48:18.965878-03:00,168.196.107.176,2026-02-19T15:55:28.840622-03:00,7,1,,,2,[],[15]
2314,Requerimento nº 13 de 2026,/materia/2314,{},13,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca na Rua Eurípedes Barros Gurgel, no trecho que inicia na Estrada das Malvinas e finaliza na Rua Consuelo Alves Pires, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2314/req_013-2026.pdf,2026-02-23T13:48:19.186381-03:00,168.196.107.176,2026-02-19T15:55:37.098652-03:00,7,1,,,2,[],[10]
