id,__str__,link_detail_backend,metadata,nome_completo,nome_parlamentar,sexo,numero_gab_parlamentar,telefone,telefone_celular,endereco_web,profissao,email,locais_atuacao,ativo,biografia,fotografia,cropping,nivel_instrucao
17,Jonas Assunção,/parlamentar/17,{},Jonas Assunção de Aquino Neto,Jonas Assunção,M,,,,,Advogado,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/17/jonas.png,"35,3,302,269",7.0
8,Josimar de Castro,/parlamentar/8,{},Josimar Bandeira de Castro,Josimar de Castro,M,,,,,Advogado,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/8/josimar.jpg,"0,9,161,170",5.0
11,José Airton Assunção,/parlamentar/11,{},José Airton Assunção,José Airton Assunção,M,,,,,Servidor Público Municipal,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/11/airton_2.jpg,"164,49,800,683",7.0
32,José Orlando,/parlamentar/32,{},José Orlando de Freitas Lima,José Orlando,M,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/32/jose_orlando.jpg,"608,224,1099,715",
58,José Wilson,/parlamentar/58,{},José Wilson Dantas da Silva,José Wilson,M,,,,,,,,False,,,,
14,João Paulo Dantas,/parlamentar/14,{},João Paulo Silva Dantas,João Paulo Dantas,M,,,,,Empresário,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/14/joao_paulo_2_kEsuOhN.jpg,"179,49,800,668",5.0
43,João da Guiomar,/parlamentar/43,{},João Almeida Dantas,João da Guiomar,M,,,,,,,,False,,,,
67,Luiz Gomes,/parlamentar/67,{},Luiz Gomes Falcão,Luiz Gomes,M,,,,,,,,False,,,,
63,Luiz Simião,/parlamentar/63,{},Luiz Simião da Costa,Luiz Simião,M,,,,,,,,False,,,,
75,Maguin Freitas,/parlamentar/75,{},Magno Cavalcante de Freitas,Maguin Freitas,M,,,,,Contador,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/75/maguin.png,"47,20,308,280",7.0
51,Maria Luiza,/parlamentar/51,{},Maria Luiza Camêlo de Freitas,Maria Luiza,F,,,,,,,,False,,,,
33,Maria Lúcia,/parlamentar/33,{},Maria Lúcia Silva Lima,Maria Lúcia,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/33/maria-lucia-do-baba-17467.jpg,"0,7,161,168",
16,Marnei,/parlamentar/16,{},Marnei Cavalcante de Freitas,Marnei,M,,,,,Empresário,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/16/marnei_2.jpg,"90,75,800,784",5.0
31,Marquinho Callou,/parlamentar/31,{},Marcos Callou Barros,Marquinho Callou,M,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/31/marquinhos_callou.jpg,"0,7,161,168",
10,Mauricio Matos,/parlamentar/10,{},Mauricio Matos Pereira,Mauricio Matos,M,,,,,Empresário,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/10/mauricio_2.jpg,"138,49,800,709",7.0
23,Mayara Silva,/parlamentar/23,{},Mayara Teles Santos Souza Cals Silva,Mayara Silva,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/23/mayara-silva-10000.jpg,"0,5,161,167",
47,Mendes,/parlamentar/47,{},José Mendes Neto,Mendes,M,,,,,,,,False,,,,
1,Neide Queiroz,/parlamentar/1,{},Neide Queiroz de Freitas,Neide Queiroz,F,,,,,Servidora Público Civil Aposentada,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/1/neide.png,"44,15,307,277",7.0
15,Ney Pires,/parlamentar/15,{},Ney Gibson Ferreira Pires,Ney Pires,M,,,,,Administrador,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/15/ney_pires.jpg,"90,52,800,762",7.0
40,Nicodemos,/parlamentar/40,{},José Nicodemos Assunção,Nicodemos,M,,,,,,,,False,,,,
24,Nilton dos Pescadores,/parlamentar/24,{},Nilton Martins de Castro,Nilton dos Pescadores,M,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/24/nilton-dos-pescadores-90123-santinho.jpg,"11,32,207,229",
55,Nonato Assunção,/parlamentar/55,{},Raimundo Nonato Assunção,Nonato Assunção,M,,,,,,,,False,,,,
37,Paizinha,/parlamentar/37,{},Maria da Paz Matos Pires,Paizinha,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/37/paizinha.png,"0,8,692,699",1.0
57,Pedro Façanha,/parlamentar/57,{},Pedro de Freitas Façanha,Pedro Façanha,M,,,,,,,,False,,,,
12,Peninha,/parlamentar/12,{},Jose Dijailson de Sousa Silva,Peninha,M,,,,,,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/12/whatsapp_image_2022-10-24_at_14.12.27.jpeg,"160,143,614,597",5.0
79,Professora Loilde,/parlamentar/79,{},Louilde Bertolso do Vale,Professora Loilde,F,,,,,Administradora,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/79/whatsapp_image_2026-03-02_at_14.15.23.jpeg,"269,78,1039,847",7.0
69,Raimundo Lima Façanha,/parlamentar/69,{},Raimundo Lima Façanha,Raimundo Lima Façanha,M,,,,,,,,False,,,,
74,Raul Freitas,/parlamentar/74,{},Raú da Silva Freitas,Raul Freitas,M,,,,,Engenheiro,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/74/raul.png,"33,15,324,307",7.0
20,Ricardsson Santana,/parlamentar/20,{},Ricardsson Santana da Silva,Ricardsson Santana,M,,,,,,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/20/riccardsson.jpg,"1273,370,2100,1197",
25,Rithele da Vanúzia,/parlamentar/25,{},Karla Rithele Moreira Lemos,Rithele da Vanúzia,F,,,,,,,,False,,,,
78,Ronaldo Lima,/parlamentar/78,{},Ronaldo Lima,Ronaldo Lima,M,,,,,,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/78/13_7846.jpg,"0,32,161,194",5.0
71,Rosean Sá,/parlamentar/71,{},Rosean Ferreira Sá Mendes,Rosean Sá,M,,,,,,,,False,,,,
66,Surimar de Almeida,/parlamentar/66,{},Surimar de Almeida,Surimar de Almeida,M,,,,,,,,False,,,,
52,Tarcísio Filho,/parlamentar/52,{},Tarcísio Vieira Mota Filho,Tarcísio Filho,M,,,,,,,,False,,,,
39,Tarcísio Mota,/parlamentar/39,{},Tarcísio Vieira Mota,Tarcísio Mota,M,,,,,Tabelião,,,False,,,,7.0
21,Val,/parlamentar/21,{},Valcídia Prado Pinheiro Queiroz,Val,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/21/val-pps-13196-d.jpg,"0,1,120,120",
56,Valdenice Moreira,/parlamentar/56,{},Valdenice de Castro Moreira,Valdenice Moreira,F,,,,,,,,False,,,,
2,Vandinho,/parlamentar/2,{},Francisco Evandro de Freitas Cavalcante,Vandinho,M,,,,,Vereador,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/2/vandinho_2.jpg,"97,52,800,754",3.0
34,Vanuzia,/parlamentar/34,{},Maria Vanúzia Assunção Moreira,Vanuzia,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/34/vanuzia-assuncao-23456.jpg,"0,11,161,172",
76,Vinícius Guimarães,/parlamentar/76,{},Vinícius Silva Guimarães,Vinícius Guimarães,M,,,,,Administrador,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/76/vinicius.png,"30,5,284,259",5.0
50,Zacarias,/parlamentar/50,{},Zacarias Rebouças de Franla,Zacarias,M,,,,,,,,False,,,,
54,Zé Almir,/parlamentar/54,{},José Almir da Silva,Zé Almir,M,,,,,,,,False,,,,
62,Zé Serpa,/parlamentar/62,{},José de Serpa Sales,Zé Serpa,M,,,,,,,,False,,,,
41,Zé Vital,/parlamentar/41,{},José Alves Moreira,Zé Vital,M,,,,,,,,False,,,,
68,Zé Wellington,/parlamentar/68,{},José Wellington da Silva,Zé Wellington,M,,,,,,,,False,,,,
